,total,male,male_less than high school diploma,male_high_school,male_some_college,male_bachelor_or_more,female,female_less than high school diploma,female_high_school,female_some_college,female_bachelor_or_more
"Census Tract 2205, Cook County, Illinois","1,341",707,0,26,118,563,634,0,45,67,522
"Census Tract 2206.01, Cook County, Illinois",582,278,0,43,108,127,304,30,4,14,256
"Census Tract 2206.02, Cook County, Illinois","1,950",962,0,129,157,676,988,0,19,136,833
"Census Tract 2207.01, Cook County, Illinois",588,277,0,59,58,160,311,16,26,90,179
"Census Tract 2207.02, Cook County, Illinois",548,295,22,8,71,194,253,23,30,58,142
"Census Tract 2209.01, Cook County, Illinois",357,222,0,102,95,25,135,12,52,6,65
"Census Tract 2209.02, Cook County, Illinois",474,271,30,53,89,99,203,32,92,14,65
"Census Tract 2210, Cook County, Illinois",432,201,4,33,16,148,231,5,44,9,173
"Census Tract 2211, Cook County, Illinois","1,381",666,0,38,151,477,715,45,96,146,428
"Census Tract 2212, Cook County, Illinois","1,222",608,4,121,117,366,614,37,112,155,310
"Census Tract 2213, Cook County, Illinois","1,068",540,9,52,83,396,528,9,13,136,370
"Census Tract 2214, Cook County, Illinois",975,661,35,57,108,461,314,0,43,87,184
"Census Tract 2215, Cook County, Illinois",962,557,59,80,147,271,405,25,32,68,280
"Census Tract 2216, Cook County, Illinois","1,614",777,0,24,105,648,837,9,20,116,692
"Census Tract 2222, Cook County, Illinois","1,248",730,1,6,43,680,518,2,37,34,445
"Census Tract 2225, Cook County, Illinois",353,216,6,6,67,137,137,0,5,52,80
"Census Tract 2226, Cook County, Illinois",501,271,15,11,83,162,230,22,18,57,133
"Census Tract 2227, Cook County, Illinois",565,345,19,26,136,164,220,0,28,54,138
"Census Tract 2228, Cook County, Illinois",59,41,4,0,13,24,18,4,0,0,14
"Census Tract 2229, Cook County, Illinois",124,81,5,0,52,24,43,7,0,6,30
"Census Tract 2301, Cook County, Illinois",348,175,21,22,23,109,173,14,24,27,108
"Census Tract 2302, Cook County, Illinois",190,122,0,41,44,37,68,6,6,21,35
"Census Tract 2303, Cook County, Illinois",41,19,0,0,7,12,22,13,0,0,9
"Census Tract 2304, Cook County, Illinois",94,45,11,0,9,25,49,0,24,8,17
"Census Tract 2305, Cook County, Illinois",87,46,3,36,0,7,41,5,18,18,0
"Census Tract 2306, Cook County, Illinois",317,210,0,79,72,59,107,0,81,26,0
"Census Tract 2307, Cook County, Illinois",146,57,4,17,19,17,89,20,44,10,15
